Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
11,"A.J. Peel","Bat trait, genetic and pathogen data from large-scale investigations of African fruit bats, Eidolon helvum",2016,"Scientific Data","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84982737840&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84982737840&origin=inward",11,"2025-01-07 12:13:02","Article","10.1038/sdata.2016.49","2052-4463","https://api.elsevier.com/content/abstract/scopus_id/84982737840",3,,,,11,1.22,11,1,9,"","",""
10,"J.S.P. Froidevaux","A species-level trait dataset of bats in Europe and beyond",2023,"Scientific Data","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85158059054&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85158059054&origin=inward",12,"2025-01-07 12:13:02","Data Paper","10.1038/s41597-023-02157-4","2052-4463","https://api.elsevier.com/content/abstract/scopus_id/85158059054",10,1,,,10,5.00,10,1,2,"","",""
8,"A. Haarsma","Macro-evolutionary trade-offs as the basis for the distribution of European bats",2013,"Animal Biology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84890421409&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84890421409&origin=inward",13,"2025-01-07 12:13:02","Article","10.1163/15707563-00002424","1570-7555","https://api.elsevier.com/content/abstract/scopus_id/84890421409",63,4,451,471,8,0.67,8,1,12,"","",""
8,"P. VERCAMMEN-GRANDJEAN","Trombiculidae parasites of bats; review of the genus Trombigastia; description of a species Myotrombicula.",1958,"Annales de parasitologie humaine et comparée","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=70449225087&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=70449225087&origin=inward",14,"2025-01-07 12:13:02","Article","","0003-4150","https://api.elsevier.com/content/abstract/scopus_id/70449225087",33,1,5,35,8,0.12,8,1,67,"","",""
8,"C. Martin","First report of Litomosa spp. (Nematoda: Filarioidea) from Malagasy bats; review of the genus and relationships between species",2006,"Parasite","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33644879176&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33644879176&origin=inward",15,"2025-01-07 12:13:02","Review","10.1051/parasite/2006131003","1252-607X","https://api.elsevier.com/content/abstract/scopus_id/33644879176",13,1,3,10,8,0.42,8,1,19,"","",""
7,"H.K. Frank","Exceptional diversity and selection pressure on coronavirus host receptors in bats compared to other mammals",2022,"Proceedings of the Royal Society B: Biological Sciences","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85135122941&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85135122941&origin=inward",16,"2025-01-07 12:13:02","Article","10.1098/rspb.2022.0193","0962-8452","https://api.elsevier.com/content/abstract/scopus_id/85135122941",289,1979,,,7,2.33,7,1,3,"","",""
7,"R.D. Stevens","Chiropteran metacommunity structure in the Atlantic Forest of South America",2020,"Journal of Biogeography","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087727198&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087727198&origin=inward",17,"2025-01-07 12:13:02","Article","10.1111/jbi.13921","0305-0270","https://api.elsevier.com/content/abstract/scopus_id/85087727198",47,10,2141,2155,7,1.40,7,1,5,"","",""
6,"Y. Werber","BATScan: A radar classification tool reveals large-scale bat migration patterns",2023,"Methods in Ecology and Evolution","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85160748477&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85160748477&origin=inward",18,"2025-01-07 12:13:02","Article","10.1111/2041-210X.14125","2041-210X","https://api.elsevier.com/content/abstract/scopus_id/85160748477",14,7,1764,1779,6,3.00,6,1,2,"","",""
4,"T. Nguyen","SP-GPT2: Semantics Improvement in Vietnamese Poetry Generation",2021,"Proceedings - 20th IEEE International Conference on Machine Learning and Applications, ICMLA 2021","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85125877882&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85125877882&origin=inward",19,"2025-01-07 12:13:02","Conference Paper","10.1109/ICMLA52953.2021.00252","","https://api.elsevier.com/content/abstract/scopus_id/85125877882",,,1576,1581,4,1.00,4,1,4,"","",""
3,"S. Phongphattarawat","Ecophysiological basis of spatiotemporal patterns in picophytoplankton pigments in the global ocean",2023,"Frontiers in Marine Science","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85149423943&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85149423943&origin=inward",20,"2025-01-07 12:13:02","Article","10.3389/fmars.2023.1112177","2296-7745","https://api.elsevier.com/content/abstract/scopus_id/85149423943",10,,,,3,1.50,3,1,2,"","",""
3,"G. Cusumano","Swift observations of the high-mass X-Ray binary IGR J16283-4838 Unveil a 288 day orbital period",2013,"Astrophysical Journal Letters","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84884172644&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84884172644&origin=inward",21,"2025-01-07 12:13:02","Article","10.1088/2041-8205/775/1/L25","2041-8205","https://api.elsevier.com/content/abstract/scopus_id/84884172644",775,1,,,3,0.25,3,1,12,"","",""
2,"F. Cosentino","A dataset on African bats’ functional traits",2023,"Scientific Data","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85171337403&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85171337403&origin=inward",22,"2025-01-07 12:13:02","Data Paper","10.1038/s41597-023-02472-w","2052-4463","https://api.elsevier.com/content/abstract/scopus_id/85171337403",10,1,,,2,1.00,2,1,2,"","",""
2,"M.J. Hughes","Consumption of endemic arbovirus mosquito vectors by bats in the southeastern United States",2022,"Journal of Vector Ecology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85141003619&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85141003619&origin=inward",23,"2025-01-07 12:13:02","Article","10.52707/1081-1710-47.2.153","1081-1710","https://api.elsevier.com/content/abstract/scopus_id/85141003619",47,2,153,165,2,0.67,2,1,3,"","",""
2,"D.L. Biassi","Effects of Pine Forest Management Practices on Bat Functional Traits in a Subtropical Region",2021,"Acta Chiropterologica","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124988525&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124988525&origin=inward",24,"2025-01-07 12:13:02","Article","10.3161/15081109ACC2021.23.2.012","1508-1109","https://api.elsevier.com/content/abstract/scopus_id/85124988525",23,2,421,431,2,0.50,2,1,4,"","",""
1,"C.A. Díaz-B","Bat functional traits associated with environmental, landscape, and conservation variables in Neotropical dry forests",2023,"Frontiers in Forests and Global Change","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85167602582&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85167602582&origin=inward",25,"2025-01-07 12:13:02","Article","10.3389/ffgc.2023.1082427","2624-893X","https://api.elsevier.com/content/abstract/scopus_id/85167602582",6,,,,1,0.50,1,1,2,"","",""
1,"R.J. Valeur","ALARP methodology used for BAT environmental impact reduction",2016,"Society of Petroleum Engineers - SPE International Conference and Exhibition on Health, Safety, Security, Environment, and Social Responsibility","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85085846316&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85085846316&origin=inward",26,"2025-01-07 12:13:02","Conference Paper","10.2118/179199-ms","","https://api.elsevier.com/content/abstract/scopus_id/85085846316",,,,,1,0.11,1,1,9,"","",""
0,"L. Russo","Food web analysis shows an exacerbated dependence of zooplankton on detritus in oligotrophic systems due to ocean warming",2025,"Progress in Oceanography","","https://api.elsevier.com/content/article/eid/1-s2.0-S0079661124001952","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85212224626&origin=inward",27,"2025-01-07 12:13:02","Article","10.1016/j.pocean.2024.103389","0079-6611","https://api.elsevier.com/content/abstract/scopus_id/85212224626",231,,,,0,0.00,0,1,1,"","",""
0,"A.M. Heckley","A meta-analysis exploring associations between habitat degradation and Neotropical bat virus prevalence and seroprevalence",2024,"Ecography","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85180191293&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85180191293&origin=inward",28,"2025-01-07 12:13:02","Article","10.1111/ecog.07041","0906-7590","https://api.elsevier.com/content/abstract/scopus_id/85180191293",2024,10,,,0,0.00,0,1,1,"","",""
0,"A. Cook","The Dial-A-Bat paratransition service of Brockton, Massachussetts, area- transit- publictransit in coordinated human services transportation ( USA).",1978,"","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85040275901&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85040275901&origin=inward",29,"2025-01-07 12:13:02","Article","","","https://api.elsevier.com/content/abstract/scopus_id/85040275901",,,,,0,0.00,0,1,47,"","",""
0,"G. Cusumano","New hard X-ray emitters discovered by BAT",2008,"Proceedings of Science","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84883637311&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84883637311&origin=inward",30,"2025-01-07 12:13:02","Conference Paper","","1824-8039","https://api.elsevier.com/content/abstract/scopus_id/84883637311",,,,,0,0.00,0,1,17,"","",""
0,"J. Aucan","Deep water trends and variability at the BATS site in the subtropical North Atlantic and consequences on local sea level budget",2013,"Deep-Sea Research Part II: Topical Studies in Oceanography","","https://api.elsevier.com/content/article/eid/1-s2.0-S0967064513000040","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84880793595&origin=inward",31,"2025-01-07 12:13:02","Article","10.1016/j.dsr2.2013.01.003","0967-0645","https://api.elsevier.com/content/abstract/scopus_id/84880793595",93,,169,176,0,0.00,0,1,12,"","",""
