trait_type,complex_or_functional_dimension,label,times_represented,represented_in,first_represented_in,type,allowed_values_levels,units,allowed_values_min,allowed_values_max,description
Morphological,Tail,Tail length,5,"Castillo-Figueroa_2021, Cosentino_2023, Gonçalvez_2018, Reardon_2017, Lucho_2017",Castillo-Figueroa_2021,numeric,.na,Value of the trait in millimeters (mm),NA,NA,Measurement from the insertion of the tail in the body to its distal end
Morphological,Tail,Uropatagium area,1,Castillo-Figueroa_2021,Castillo-Figueroa_2021,numeric,.na,Value of the trait in area (m2),NA,NA,Measurement of the surface area of the intrafemoral membrane
Life history,Reproductive,Litters per year,5,"Castillo-Figueroa_2021, Soria_2021, Cosentino_2023, Myhrvold_2015, Wilkinson_2002",Castillo-Figueroa_2021,numeric,.na,Mean number of litters during a year,NA,NA,Number of litters produced per year
Life history,Reproductive,Litter size,7,"Castillo-Figueroa_2021, Soria_2021, Cosentino_2023, Froidevaux_2023, Myhrvold_2015, Barbaro_2019, Charbonnier_2016",Castillo-Figueroa_2021,numeric,.na,Mean number of pups per litter,NA,NA,Number of pups produced per litter
Life history,Reproductive,Gestation duration,5,"Castillo-Figueroa_2021, Soria_2021, Cosentino_2023, Froidevaux_2023, Myhrvold_2015",Castillo-Figueroa_2021,numeric,.na,Mean days in pregnancy,NA,NA,Length of the pregnancy expressed in days
Life history,Reproductive,Active gestation length,1,Cosentino_2023,Cosentino_2023,numeric,.na,days,NA,NA,The length of active gestation
Life history,Reproductive,Lactation duration,2,"Castillo-Figueroa_2021, Cosentino_2023",Castillo-Figueroa_2021,numeric,.na,Mean days in lactation,NA,NA,Length of the lactation expressed in days
Life history,Reproductive,teat_number_n,1,Soria_2021,Soria_2021,numeric,.na,.na,NA,NA,Total number of teats present in an individual of the species
Life history,Reproductive,neonate_mass_g,3,"Soria_2021, Cosentino_2023, Myhrvold_2015",Soria_2021,numeric,.na,g,NA,NA,Weight of an individual at birth in grams
Life history,Reproductive,Neonate head-body length,2,"Cosentino_2023, Myhrvold_2015",Cosentino_2023,numeric,.na,mm,NA,NA,The head-body length of infants
Life history,Reproductive,weaning_age_d,4,"Soria_2021, Cosentino_2023, Froidevaux_2023, Myhrvold_2015",Soria_2021,numeric,.na,days,NA,NA,Age at which primary nutritional dependency on the mother ends and independent foraging begins in days
Life history,Reproductive,weaning_mass_g,3,"Soria_2021, Cosentino_2023, Myhrvold_2015",Soria_2021,numeric,.na,g,NA,NA,Weight at weaning in grams
Life history,Reproductive,Weaning head-body length,1,Cosentino_2023,Cosentino_2023,numeric,.na,mm,NA,NA,The head-body length of weanlings
Life history,Reproductive,generation_length_d,2,"Soria_2021, Tanalgo_2022",Soria_2021,numeric,.na,days,NA,NA,Average age of parents of the current cohort in days
Life history,Reproductive,Reproductive status,2,"Castillo-Figueroa_2021, Gonçalvez_2018",Castillo-Figueroa_2021,categorical,"For females the frequencies or population averages of each stage: 
Proestrus. Estrus. Metestrus. Anestrus. For males the frequencies or 
population averages of: Scrotted males Non-scrotted males",.na,.na,.na,"Reproductive stage that involves hormonal concentration (progesterone and 
estradiol peaks) and physiological changes in females (corpus luteum and 
ovarian follicle). Vaginal smears can reveal superficial nucleated cells 
(proestrus), superficial non-nucleated cells parabasal (estrus), 
intermediate cells (metestrus) and parabasal cells (anestrus) in bat 
females. Females can be considered reproductive when they presented a 
dominance in proestrus, estrus, and metestrus. By contrast, 
non-reproductive females are when the dominant stage is anestrus. This can 
be measured individually and can also be expressed in frequencies or 
population averages of each stage. For males, reproductive status can be 
determined by examining testes (scrotted or not), thus obtaining 
frequencies or population averages of each condition."
Life history,Reproductive,sex,2,"Gonçalvez_2018, Herberstein_2022",Gonçalvez_2018,categorical,"male, female",.na,.na,.na,Sex of the specimens
Life history,Reproductive,Parental cares,1,Cosentino_2023,Cosentino_2023,categorical,"1= yes, 2=no",.na,.na,.na,Presence of parental cares
Life history,Reproductive,age_first_reproduction_d,2,"Soria_2021, Cosentino_2023",Soria_2021,numeric,.na,days,NA,NA,Age at which females give birth to their first litter or their young attach to teats in days
Life history,Reproductive,interbirth_interval_d,3,"Soria_2021, Cosentino_2023, Myhrvold_2015",Soria_2021,numeric,.na,days,NA,NA,Time between reproduction events in days
Life history,Reproductive,mean birth date,2,"Barbaro_2019, Charbonnier_2016",Barbaro_2019,categorical,"may, june, july",.na,.na,.na,Months of year
Life history,Reproductive,Sperm retention,1,Cosentino_2023,Cosentino_2023,categorical,"1= yes, 2=no",.na,.na,.na,Presence of sperm retention
Life history,Reproductive,Delayed implantation,1,Cosentino_2023,Cosentino_2023,categorical,"1= yes, 2=no",.na,.na,.na,Presence of any lag in the implantation
Life history,Reproductive,Delayed embryonic development,1,Cosentino_2023,Cosentino_2023,categorical,"1= yes, 2=no",.na,.na,.na,Presence of any lag in the embryonic period
Life history,Reproductive,max_longevity_d,3,"Soria_2021, Froidevaux_2023, Myhrvold_2015",Soria_2021,numeric,.na,days,NA,NA,Maximum reported age at death for the species in days
Life history,Reproductive,longevity_y,2,"Myhrvold_2015, Wilkinson_2002",Myhrvold_2015,numeric,.na,Years,NA,NA,Age at death.
Life history,Reproductive,Life-span in the wild,1,Cosentino_2023,Cosentino_2023,numeric,.na,years,NA,NA,The length of life in the wild
Life history,Reproductive,Life-span in captivity,1,Cosentino_2023,Cosentino_2023,numeric,.na,years,NA,NA,The length of life in captivity
Life history,Reproductive,age,1,Gonçalvez_2018,Gonçalvez_2018,categorical,"adult, juvenile",.na,.na,.na,Age of the specimens
Life history,Reproductive,status,1,Gonçalvez_2018,Gonçalvez_2018,categorical,"dead, alive",.na,.na,.na,Status of individual when measured
Life history,Reproductive,Sexual maturity age,4,"Castillo-Figueroa_2021, Soria_2021, Cosentino_2023, Myhrvold_2015",Castillo-Figueroa_2021,numeric,.na,Mean number of years,NA,NA,Age at first reproductive event (adult)
Life history,Reproductive,female_maturity_d,3,"Soria_2021, Froidevaux_2023, Myhrvold_2015",Soria_2021,numeric,.na,days,NA,NA,The amount of time needed for a female to reach sexual maturity in days
Life history,Reproductive,male_maturity_d,3,"Soria_2021, Froidevaux_2023, Myhrvold_2015",Soria_2021,numeric,.na,days,NA,NA,The amount of time needed for a male to reach sexual maturity in days
Life history,Reproductive,female_svl_at_maturity_cm,1,Myhrvold_2015,Myhrvold_2015,numeric,.na,Centimeters,NA,NA,Measure from tip of the snout to the opening of the cloaca or tail base at the time of maturity for females.
Life history,Reproductive,female_body_mass_at_maturity_g,1,Myhrvold_2015,Myhrvold_2015,numeric,.na,Grams,NA,NA,Body mass at the time of maturity for females.
Life history,Reproductive,Mating systems,1,Castillo-Figueroa_2021,Castillo-Figueroa_2021,categorical,Monogamic; Polygyny; Polyandry; Promiscuty,.na,.na,.na,"All the potential combinations between bats to find mate and copulate 
during reproductive season"
Life history,Reproductive,Polygamy,1,Cosentino_2023,Cosentino_2023,categorical,"1= yes, 2=no",.na,.na,.na,Mating system of the species
Life history,Reproductive,Polyandry,1,Cosentino_2023,Cosentino_2023,categorical,"1= yes, 2=no",.na,.na,.na,Mating system of the species
Life history,Reproductive,Polygyny,1,Cosentino_2023,Cosentino_2023,categorical,"1= yes, 2=no",.na,.na,.na,Mating system of the species
Life history,Reproductive,Monogamy,1,Cosentino_2023,Cosentino_2023,categorical,"1= yes, 2=no",.na,.na,.na,Mating system of the species
Life history,Physiological,Digestive capactiy,1,Castillo-Figueroa_2021,Castillo-Figueroa_2021,numeric,.na,Food intake response,NA,NA,"Bat capacity to obtain nutrients when consumption item differ in nutrient 
quality. Food intake response is defined as the relationship (following 
power function) between volumetric food intake and nutrient concentration"
Life history,Physiological,DigestiveEfficiency,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,%,NA,NA,A measure of how much of a feed or nutrient appears to be digested
Life history,Physiological,Gut size,1,Castillo-Figueroa_2021,Castillo-Figueroa_2021,numeric,.na,cm2,NA,NA,Gut area of the total gut. Mean surface area.
Life history,Physiological,Gut retention time of seeds,1,Castillo-Figueroa_2021,Castillo-Figueroa_2021,numeric,.na,minutes,NA,NA,"Time that the seeds are retained inside the gut of the bat until is 
expelled by feces. Mean number of time."
Life history,Physiological,Type of lingual papillae,1,Castillo-Figueroa_2021,Castillo-Figueroa_2021,character,"Gustative, including vallate and fungiform, or mechanical comprising basal, 
postero-median, scalelike, filiform, foliate, conical, and horny",.na,.na,.na,Shape of the papillae in tongue
Life history,Physiological,Metabolic rate,3,"Castillo-Figueroa_2021, Froidevaux_2023, Herberstein_2022",Castillo-Figueroa_2021,numeric,.na,kcal/day,NA,NA,"Energy unit per time required by an individual to maintain its basal 
physiological functions. Mean energetic expenditure"
Life history,Physiological,original metabolic rate,1,Herberstein_2022,Herberstein_2022,numeric,.na,NA,NA,NA,Unstandardised metabolic rate value from source document
Life history,Physiological,mass-specific metabolic rate,1,Herberstein_2022,Herberstein_2022,numeric,.na,NA,NA,NA,Numeric standardised metabolic rate / body mass
Life history,Physiological,BasalMetabolicRatePerc,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,%,NA,NA,Basal rate of metabolism as a percentage of the value expected from the equation described in Genoud et al. (2018)
Life history,Physiological,RestingMetabolicRate,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,W kg-1,NA,NA,The metabolic rate of an animal that is resting in a thermoneutral environment but not in the postabsorptive state
Life history,Physiological,HeartRateFlight,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,bpm,NA,NA,"Heart rate during flight (beats per minutes, bpm)"
Life history,Physiological,HeartRateResting,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,bpm,NA,NA,"Heart rate during rest (beats per minutes, bpm)"
Life history,Physiological,TotalEvaporativeWaterLossRate,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,ml/h,NA,NA,The sum of cutaneous evaporative water loss and respiratory evaporative water loss
Life history,Physiological,SpeciesThermalIndex,2,"Froidevaux_2023, Barbaro_2019",Froidevaux_2023,numeric,.na,°C,NA,NA,Species thermal index: thermal preference of a species expressed as the average temperature a species experiences across its geographic range
Life history,Physiological,Body temperature,3,"Castillo-Figueroa_2021, Froidevaux_2023, Herberstein_2022",Castillo-Figueroa_2021,numeric,.na,ºC,NA,NA,"Individual capacity to survive at a specific temperature, either hot or 
cold temperatures"
Life history,Physiological,ResponseToNightlyTemperature,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,.na,NA,NA,Estimated response to temperature at night calculated from generalized linear mixed model
Life history,Physiological,ResponseToNightlyPrecipitation,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,.na,NA,NA,Estimated response to the amount of precipitations at night calculated from generalized linear mixed model
Life history,Physiological,ResponseToNightlyWindSpeed,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,.na,NA,NA,Estimated response to wind speed at night calculated from generalized linear mixed model
Life history,Physiological,hibernation_torpor,4,"Soria_2021, Cosentino_2023, Froidevaux_2023, Wilkinson_2002",Soria_2021,categorical,"0 (no), 1 (yes)",.na,.na,.na,Individuals of the species go through hibernation or torpor
Life history,Physiological,Hibernation length,1,Cosentino_2023,Cosentino_2023,numeric,.na,days,NA,NA,Length of the hibernation period
Life history,Physiological,HeartRateTorpor,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,bpm,NA,NA,"Heart rate during torpor (beats per minutes, bpm)"
Life history,Physiological,MaxTorporBoutDuration,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,h,NA,NA,Maximum torpor bout duration
Life history,Physiological,MeanTorporBoutDuration,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,h,NA,NA,Mean torpor bout duration
Life history,Behavioral,Migration,4,"Castillo-Figueroa_2021, Cosentino_2023, Barbaro_2019, Charbonnier_2016",Castillo-Figueroa_2021,categorical,Resident; Migratory,.na,.na,.na,Species movement according its life history
Life history,Behavioral,Sociality,1,Castillo-Figueroa_2021,Castillo-Figueroa_2021,categorical,Solitary; Society; Group; Colony; Aggregation,.na,.na,.na,Clustering of individuals
Life history,Behavioral,social_group_size_n,1,Soria_2021,Soria_2021,numeric,.na,individuals,NA,NA,Number of individuals in a group that spends most of their daily time together
Life history,Behavioral,Territoriality (F/M/U),1,Cosentino_2023,Cosentino_2023,categorical,"1= yes, 2=no",.na,.na,.na,Territoriality of the species individuals
Life history,Behavioral,Foraging strategy,7,"Castillo-Figueroa_2021, Renner_2018, Monadjem_2018, Presley_2018, Scheiner_2017, Cisneros_2014, Carrasco-Rueda_2020",Castillo-Figueroa_2021,categorical,Gleaning foragers; Aerial foragers; Trawling foragers,.na,.na,.na,Behavioral strategy that is used to obtain food
Life history,Behavioral,aerial,1,Scheiner_2017,Scheiner_2017,categorical,"1 = yes, 2 = no",.na,.na,.na,Definition not specified in database; Check in article for more details
Life history,Behavioral,Hawking,1,Cosentino_2023,Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Hawking strategy
Life history,Behavioral,Gleaning,2,"Cosentino_2023, Scheiner_2017",Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Gleaning strategy
Life history,Behavioral,Flycatching,1,Cosentino_2023,Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Flycatching strategy
Life history,Behavioral,Trawling,1,Cosentino_2023,Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Trawling strategy
